LOYIHA AUDITI - BARCHA KURS VA DARSLAR
==========================================================================================


[KURS 1] HTML (id: html) — 130 dars
  [WARN] Dars 1: HTML nima? | Content:YES Quiz:NO Sections:0 Ex:0 QuizQs:0
  [WARN] Dars 2: HTML nima? | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 3: HTML qanday ishlaydi? | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 4: Teg (Tag), Kontent va Element | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 5: Oddiy HTML sahifa strukturasi | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 6: Parent va Child (ota va bola) elementlar | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 7: Sarlavhalar (h1–h6), Paragraf (p) va Yangi qator (br) | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 8: Xulosa | Content:NO Quiz:YES Sections:1 Ex:0 QuizQs:8
  [WARN] Dars 9: HTML hujjati strukturasi | Content:YES Quiz:NO Sections:0 Ex:0 QuizQs:0
  [WARN] Dars 10: HTML skeleti — umumiy ko‘rinish | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 11: <!DOCTYPE html> — hujjat turi e‘loni | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 12: <html lang= | Content:NO Quiz:NO Sections:0 Ex:0 QuizQs:0
  [WARN] Dars 13: <head> — ko‘rinmaydigan qism | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 14: <meta charset= | Content:NO Quiz:NO Sections:0 Ex:0 QuizQs:0
  [WARN] Dars 15: <title> — sahifa nomi | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
  [WARN] Dars 16: <body> — ko‘rinadigan qism | Content:NO Quiz:NO Sections:1 Ex:0 QuizQs:0
